,D_ID,ID,Tissue,Type,DiseaseT5,TimeSource,Source
1,1,"""01""",D,K,,T1,0.864683574
2,1,"""01""",D,U,,T1,0.135316426
3,1,"""01""",H,K,,T3,0.76349954
4,1,"""01""",H,U,,T3,0.23650046
5,1,"""01""",H,K,Lo,T4,0.901411118
6,1,"""01""",H,U,Lo,T4,0.098588882
7,1,"""01""",H,K,Hi,T4,0.903429355
8,1,"""01""",H,U,Hi,T4,0.096570645
9,1,"""01""",L,K,,T1,0.528779739
10,1,"""01""",L,U,,T1,0.471220261
11,1,"""01""",L,K,,T2,0.265402844
12,1,"""01""",L,U,,T2,0.734597156
13,1,"""01""",L,K,,T3,0
14,1,"""01""",L,U,,T3,1
15,2,"""02""",D,K,,T1,0.921852425
16,2,"""02""",D,U,,T1,0.078147575
17,2,"""02""",H,K,,T3,0.675494026
18,2,"""02""",H,U,,T3,0.324505974
19,2,"""02""",H,K,Lo,T4,0.876331389
20,2,"""02""",H,U,Lo,T4,0.123668611
21,2,"""02""",H,K,Hi,T4,0.952968939
22,2,"""02""",H,U,Hi,T4,0.047031061
23,2,"""02""",L,K,,T1,0.471220261
24,2,"""02""",L,U,,T1,0.528779739
25,2,"""02""",L,K,,T2,0.183254344
26,2,"""02""",L,U,,T2,0.816745656
27,2,"""02""",L,K,,T3,0.113522538
28,2,"""02""",L,U,,T3,0.886477462
29,3,"""03""",D,K,,T1,0.834355369
30,3,"""03""",D,U,,T1,0.165644631
31,3,"""03""",H,K,,T3,0.592564729
32,3,"""03""",H,U,,T3,0.407435271
33,3,"""03""",H,K,Lo,T4,0.914228135
34,3,"""03""",H,U,Lo,T4,0.085771865
35,3,"""03""",H,K,Hi,T4,0.965210711
36,3,"""03""",H,U,Hi,T4,0.034789289
37,3,"""03""",L,K,,T1,NA
38,3,"""03""",L,U,,T1,NA
39,3,"""03""",L,K,,T2,0
40,3,"""03""",L,U,,T2,1
41,3,"""03""",L,K,,T3,NA
42,3,"""03""",L,U,,T3,NA
43,4,"""04""",D,K,,T1,0.950772724
44,4,"""04""",D,U,,T1,0.049227276
45,4,"""04""",H,K,,T3,0.849086942
46,4,"""04""",H,U,,T3,0.150913058
47,4,"""04""",H,K,Lo,T4,0.896978515
48,4,"""04""",H,U,Lo,T4,0.103021485
49,4,"""04""",H,K,Hi,T4,0.941234568
50,4,"""04""",H,U,Hi,T4,0.058765432
51,4,"""04""",L,K,,T1,NA
52,4,"""04""",L,U,,T1,NA
53,4,"""04""",L,K,,T2,NA
54,4,"""04""",L,U,,T2,NA
55,4,"""04""",L,K,,T3,NA
56,4,"""04""",L,U,,T3,NA
57,5,"""05""",D,K,,T1,0.967622094
58,5,"""05""",D,U,,T1,0.032377906
59,5,"""05""",H,K,,T3,0.777822442
60,5,"""05""",H,U,,T3,0.222177558
61,5,"""05""",H,K,Lo,T4,0.882855234
62,5,"""05""",H,U,Lo,T4,0.117144766
63,5,"""05""",H,K,Hi,T4,0.962890466
64,5,"""05""",H,U,Hi,T4,0.037109534
65,5,"""05""",L,K,,T1,0.009209517
66,5,"""05""",L,U,,T1,0.990790483
67,5,"""05""",L,K,,T2,0
68,5,"""05""",L,U,,T2,1
69,5,"""05""",L,K,,T3,0
70,5,"""05""",L,U,,T3,1
71,6,"""06""",D,K,,T1,0.948717949
72,6,"""06""",D,U,,T1,0.051282051
73,6,"""06""",H,K,,T3,0.819627886
74,6,"""06""",H,U,,T3,0.180372114
75,6,"""06""",H,K,Lo,T4,0.79048951
76,6,"""06""",H,U,Lo,T4,0.20951049
77,6,"""06""",H,K,Hi,T4,0.852837853
78,6,"""06""",H,U,Hi,T4,0.147162147
79,6,"""06""",L,K,,T1,NA
80,6,"""06""",L,U,,T1,NA
81,6,"""06""",L,K,,T2,NA
82,6,"""06""",L,U,,T2,NA
83,6,"""06""",L,K,,T3,NA
84,6,"""06""",L,U,,T3,NA
85,7,"""07""",D,K,,T1,0.95239841
86,7,"""07""",D,U,,T1,0.04760159
87,7,"""07""",H,K,,T3,0.724485055
88,7,"""07""",H,U,,T3,0.275514945
89,7,"""07""",H,K,Lo,T4,0.864686469
90,7,"""07""",H,U,Lo,T4,0.135313531
91,7,"""07""",H,K,Hi,T4,0.848880597
92,7,"""07""",H,U,Hi,T4,0.151119403
93,7,"""07""",L,K,,T1,NA
94,7,"""07""",L,U,,T1,NA
95,7,"""07""",L,K,,T2,NA
96,7,"""07""",L,U,,T2,NA
97,7,"""07""",L,K,,T3,0.449081803
98,7,"""07""",L,U,,T3,0.550918197
99,8,"""08""",D,K,,T1,0.976033335
100,8,"""08""",D,U,,T1,0.023966665
101,8,"""08""",H,K,,T3,0.800873011
102,8,"""08""",H,U,,T3,0.199126989
103,8,"""08""",H,K,Lo,T4,0.902992735
104,8,"""08""",H,U,Lo,T4,0.097007265
105,8,"""08""",H,K,Hi,T4,0.885102881
106,8,"""08""",H,U,Hi,T4,0.114897119
107,8,"""08""",L,K,,T1,0.02762855
108,8,"""08""",L,U,,T1,0.97237145
109,8,"""08""",L,K,,T2,0.025276461
110,8,"""08""",L,U,,T2,0.974723539
111,8,"""08""",L,K,,T3,0.228714524
112,8,"""08""",L,U,,T3,0.771285476
113,9,"""09""",D,K,,T1,0.954206367
114,9,"""09""",D,U,,T1,0.045793633
115,9,"""09""",H,K,,T3,0.896577466
116,9,"""09""",H,U,,T3,0.103422534
117,9,"""09""",H,K,Lo,T4,0.934677514
118,9,"""09""",H,U,Lo,T4,0.065322486
119,9,"""09""",H,K,Hi,T4,0.965978929
120,9,"""09""",H,U,Hi,T4,0.034021071
121,9,"""09""",L,K,,T1,NA
122,9,"""09""",L,U,,T1,NA
123,9,"""09""",L,K,,T2,NA
124,9,"""09""",L,U,,T2,NA
125,9,"""09""",L,K,,T3,NA
126,9,"""09""",L,U,,T3,NA
127,10,"""10""",D,K,,T1,0.816903589
128,10,"""10""",D,U,,T1,0.183096411
129,10,"""10""",H,K,,T3,0.817199977
130,10,"""10""",H,U,,T3,0.182800023
131,10,"""10""",H,K,Lo,T4,0.915719084
132,10,"""10""",H,U,Lo,T4,0.084280916
133,10,"""10""",H,K,Hi,T4,0.965871056
134,10,"""10""",H,U,Hi,T4,0.034128944
135,10,"""10""",L,K,,T1,0.417498081
136,10,"""10""",L,U,,T1,0.582501919
137,10,"""10""",L,K,,T2,0.093206951
138,10,"""10""",L,U,,T2,0.906793049
139,10,"""10""",L,K,,T3,0.001669449
140,10,"""10""",L,U,,T3,0.998330551
141,11,"""11""",D,K,,T1,0.910568686
142,11,"""11""",D,U,,T1,0.089431314
143,11,"""11""",H,K,,T3,0.845998655
144,11,"""11""",H,U,,T3,0.154001345
145,11,"""11""",H,K,Lo,T4,0.829058584
146,11,"""11""",H,U,Lo,T4,0.170941416
147,11,"""11""",H,K,Hi,T4,0.940682616
148,11,"""11""",H,U,Hi,T4,0.059317384
149,11,"""11""",L,K,,T1,0.006144393
150,11,"""11""",L,U,,T1,0.993855607
151,11,"""11""",L,K,,T2,0.123222749
152,11,"""11""",L,U,,T2,0.876777251
153,11,"""11""",L,K,,T3,NA
154,11,"""11""",L,U,,T3,NA
155,12,"""12""",D,K,,T1,0.942681074
156,12,"""12""",D,U,,T1,0.057318926
157,12,"""12""",H,K,,T3,0.940730531
158,12,"""12""",H,U,,T3,0.059269469
159,12,"""12""",H,K,Lo,T4,0.800868886
160,12,"""12""",H,U,Lo,T4,0.199131114
161,12,"""12""",H,K,Hi,T4,0.918079561
162,12,"""12""",H,U,Hi,T4,0.081920439
163,12,"""12""",L,K,,T1,0.555640829
164,12,"""12""",L,U,,T1,0.444359171
165,12,"""12""",L,K,,T2,NA
166,12,"""12""",L,U,,T2,NA
167,12,"""12""",L,K,,T3,NA
168,12,"""12""",L,U,,T3,NA
169,13,"""13""",D,K,,T1,0.754603175
170,13,"""13""",D,U,,T1,0.245396825
171,13,"""13""",H,K,,T3,0.881223005
172,13,"""13""",H,U,,T3,0.118776995
173,13,"""13""",H,K,Lo,T4,0.794567827
174,13,"""13""",H,U,Lo,T4,0.205432173
175,13,"""13""",H,K,Hi,T4,0.844081005
176,13,"""13""",H,U,Hi,T4,0.155918995
177,13,"""13""",L,K,,T1,0.489291598
178,13,"""13""",L,U,,T1,0.510708402
179,13,"""13""",L,K,,T2,0.088467615
180,13,"""13""",L,U,,T2,0.911532385
181,13,"""13""",L,K,,T3,NA
182,13,"""13""",L,U,,T3,NA
183,14,"""14""",D,K,,T1,0.635226129
184,14,"""14""",D,U,,T1,0.364773871
185,14,"""14""",H,K,,T3,0.838320602
186,14,"""14""",H,U,,T3,0.161679398
187,14,"""14""",H,K,Lo,T4,0.841608245
188,14,"""14""",H,U,Lo,T4,0.158391755
189,14,"""14""",H,K,Hi,T4,0.957297327
190,14,"""14""",H,U,Hi,T4,0.042702673
191,14,"""14""",L,K,,T1,0.805832694
192,14,"""14""",L,U,,T1,0.194167306
193,14,"""14""",L,K,,T2,0.935229068
194,14,"""14""",L,U,,T2,0.064770932
195,14,"""14""",L,K,,T3,0.595993322
196,14,"""14""",L,U,,T3,0.404006678
197,15,"""15""",D,K,,T1,0.741460268
198,15,"""15""",D,U,,T1,0.258539732
199,15,"""15""",H,K,,T3,0.866320046
200,15,"""15""",H,U,,T3,0.133679954
201,15,"""15""",H,K,Lo,T4,0.71428188
202,15,"""15""",H,U,Lo,T4,0.28571812
203,15,"""15""",H,K,Hi,T4,0.830333626
204,15,"""15""",H,U,Hi,T4,0.169666374
205,15,"""15""",L,K,,T1,NA
206,15,"""15""",L,U,,T1,NA
207,15,"""15""",L,K,,T2,0.813586098
208,15,"""15""",L,U,,T2,0.186413902
209,15,"""15""",L,K,,T3,0.500834725
210,15,"""15""",L,U,,T3,0.499165275
211,16,"""16""",D,K,,T1,0.68115642
212,16,"""16""",D,U,,T1,0.31884358
213,16,"""16""",H,K,,T3,0.600838406
214,16,"""16""",H,U,,T3,0.399161594
215,16,"""16""",H,K,Lo,T4,0.853697655
216,16,"""16""",H,U,Lo,T4,0.146302345
217,16,"""16""",H,K,Hi,T4,0.937939898
218,16,"""16""",H,U,Hi,T4,0.062060102
219,16,"""16""",L,K,,T1,0.075978511
220,16,"""16""",L,U,,T1,0.924021489
221,16,"""16""",L,K,,T2,0.848341232
222,16,"""16""",L,U,,T2,0.151658768
223,16,"""16""",L,K,,T3,0
224,16,"""16""",L,U,,T3,1
225,17,"""17""",D,K,,T1,0.700420526
226,17,"""17""",D,U,,T1,0.299579474
227,17,"""17""",H,K,,T3,0.826116917
228,17,"""17""",H,U,,T3,0.173883083
229,17,"""17""",H,K,Lo,T4,0.823717607
230,17,"""17""",H,U,Lo,T4,0.176282393
231,17,"""17""",H,K,Hi,T4,0.85842166
232,17,"""17""",H,U,Hi,T4,0.14157834
233,17,"""17""",L,K,,T1,NA
234,17,"""17""",L,U,,T1,NA
235,17,"""17""",L,K,,T2,0.815165877
236,17,"""17""",L,U,,T2,0.184834123
237,17,"""17""",L,K,,T3,0.814691152
238,17,"""17""",L,U,,T3,0.185308848
239,18,"""18""",D,K,,T1,0.761435463
240,18,"""18""",D,U,,T1,0.238564537
241,18,"""18""",H,K,,T3,0.800724906
242,18,"""18""",H,U,,T3,0.199275094
243,18,"""18""",H,K,Lo,T4,0.787485301
244,18,"""18""",H,U,Lo,T4,0.212514699
245,18,"""18""",H,K,Hi,T4,0.904252401
246,18,"""18""",H,U,Hi,T4,0.095747599
247,18,"""18""",L,K,,T1,0.036838066
248,18,"""18""",L,U,,T1,0.963161934
249,18,"""18""",L,K,,T2,0.731437599
250,18,"""18""",L,U,,T2,0.268562401
251,18,"""18""",L,K,,T3,0.155258765
252,18,"""18""",L,U,,T3,0.844741235
253,19,"""19""",D,K,,T1,0.606832314
254,19,"""19""",D,U,,T1,0.393167686
255,19,"""19""",H,K,,T3,0.858447226
256,19,"""19""",H,U,,T3,0.141552774
257,19,"""19""",H,K,Lo,T4,0.830264237
258,19,"""19""",H,U,Lo,T4,0.169735763
259,19,"""19""",H,K,Hi,T4,0.86209735
260,19,"""19""",H,U,Hi,T4,0.13790265
261,19,"""19""",L,K,,T1,0.749040675
262,19,"""19""",L,U,,T1,0.250959325
263,19,"""19""",L,K,,T2,0.014218009
264,19,"""19""",L,U,,T2,0.985781991
265,19,"""19""",L,K,,T3,NA
266,19,"""19""",L,U,,T3,NA
267,20,"""20""",D,K,,T1,0.682344276
268,20,"""20""",D,U,,T1,0.317655724
269,20,"""20""",H,K,,T3,0.862955309
270,20,"""20""",H,U,,T3,0.137044691
271,20,"""20""",H,K,Lo,T4,0.834331556
272,20,"""20""",H,U,Lo,T4,0.165668444
273,20,"""20""",H,K,Hi,T4,0.900084436
274,20,"""20""",H,U,Hi,T4,0.099915564
275,20,"""20""",L,K,,T1,0.501390176
276,20,"""20""",L,U,,T1,0.498609824
277,20,"""20""",L,K,,T2,0.565560821
278,20,"""20""",L,U,,T2,0.434439179
279,20,"""20""",L,K,,T3,NA
280,20,"""20""",L,U,,T3,NA
281,21,"""21""",D,K,,T1,0.636527889
282,21,"""21""",D,U,,T1,0.363472111
283,21,"""21""",H,K,,T3,0.464511313
284,21,"""21""",H,U,,T3,0.535488687
285,21,"""21""",H,K,Lo,T4,0.965062112
286,21,"""21""",H,U,Lo,T4,0.034937888
287,21,"""21""",H,K,Hi,T4,0.923178227
288,21,"""21""",H,U,Hi,T4,0.076821773
289,21,"""21""",L,K,,T1,0.797390637
290,21,"""21""",L,U,,T1,0.202609363
291,21,"""21""",L,K,,T2,0.868670886
292,21,"""21""",L,U,,T2,0.131329114
293,21,"""21""",L,K,,T3,0.40066778
294,21,"""21""",L,U,,T3,0.59933222
295,22,"""22""",D,K,,T1,0.760168726
296,22,"""22""",D,U,,T1,0.239831274
297,22,"""22""",H,K,,T3,0.891524061
298,22,"""22""",H,U,,T3,0.108475939
299,22,"""22""",H,K,Lo,T4,0.900672592
300,22,"""22""",H,U,Lo,T4,0.099327408
301,22,"""22""",H,K,Hi,T4,0.942548288
302,22,"""22""",H,U,Hi,T4,0.057451712
303,22,"""22""",L,K,,T1,NA
304,22,"""22""",L,U,,T1,NA
305,22,"""22""",L,K,,T2,NA
306,22,"""22""",L,U,,T2,NA
307,22,"""22""",L,K,,T3,NA
308,22,"""22""",L,U,,T3,NA
309,23,"""23""",D,K,,T1,0.756940144
310,23,"""23""",D,U,,T1,0.243059856
311,23,"""23""",H,K,,T3,0.822326203
312,23,"""23""",H,U,,T3,0.177673797
313,23,"""23""",H,K,Lo,T4,0.686765078
314,23,"""23""",H,U,Lo,T4,0.313234922
315,23,"""23""",H,K,Hi,T4,0.934782609
316,23,"""23""",H,U,Hi,T4,0.065217391
317,23,"""23""",L,K,,T1,0.070606293
318,23,"""23""",L,U,,T1,0.929393707
319,23,"""23""",L,K,,T2,0.990521327
320,23,"""23""",L,U,,T2,0.009478673
321,23,"""23""",L,K,,T3,0.215358932
322,23,"""23""",L,U,,T3,0.784641068
323,24,"""24""",D,K,,T1,0.732592038
324,24,"""24""",D,U,,T1,0.267407962
325,24,"""24""",H,K,,T3,0.604754098
326,24,"""24""",H,U,,T3,0.395245902
327,24,"""24""",H,K,Lo,T4,0.850520076
328,24,"""24""",H,U,Lo,T4,0.149479924
329,24,"""24""",H,K,Hi,T4,0.926940389
330,24,"""24""",H,U,Hi,T4,0.073059611
331,24,"""24""",L,K,,T1,0
332,24,"""24""",L,U,,T1,1
333,24,"""24""",L,K,,T2,0.677725118
334,24,"""24""",L,U,,T2,0.322274882
335,24,"""24""",L,K,,T3,0.52480916
336,24,"""24""",L,U,,T3,0.47519084
